Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,C-Trig,
"C10, C11, C12, C13, C23, C24, C29, C3, C30, C32, C33, C4, C5, C6, C7, C8",0603,16,100n,C14663
"C14, C15, C18, C19",0603,4,10p,C1634
"C16, C17, C20, C21",0402,4,100n,C1525 
"C2, C9",0805,2,10u,C15850
C22,CP_EIA-3216-18_Kemet-A,1,10uTantal,C7171
"D1, D2, D4, D6, D7, D8",SOT-23,6,BAT54S,C8592
"D3, D9",D_SOD-323,2,1N5819WS,C191023
D5,1206,1,LED,C125108
"FB1, FB2, FB3, FB4",0805,4,Ferrite_Bead,C1017
"J1, J3",TestPoint_THTPad_D4.0mm_Drill2.0mm,2,Gate In,
J10,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,sync,
"J11, J12, J13, J14, J15, J16, J17, J18, J6",Molex_PicoBlade_53398-0371_1x03-1MP_P1.25mm_Vertical,9,Power,C293633
"J19, J20, J21, J23, J27, J30, J31",TE_UMCC_2337019-1,7,Coax,C5137195
J2,TestPoint_THTPad_D4.0mm_Drill2.0mm,1,Trigger In,
"J22, J28, J29, J32",TestPoint_THTPad_D4.0mm_Drill2.0mm,4,Banana,
"J24, J25, J26, J34, J35",TestPoint_THTPad_D4.0mm_Drill2.0mm,5,Input,
"J33, J4",Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,2,Power,
"J5, J7",TestPoint_THTPad_D4.0mm_Drill2.0mm,2,Out,
J8,IDC-Header_2x08_P2.54mm_Vertical,1,Conn_01x16,
JP1,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,1,Jumper_2_Bridged,
Q3,SOT-23,1,MMBT2222A,C8512
"R1, R10, R15, R17, R22, R25, R29, R41, R48, R7, R8",0603,11,47k,C25819
"R11, R12",0603,2,1k,C21190
"R13, R14, R18, R19, R23, R24, R26, R27, R28, R30, R31, R32, R42, R43, R49, R5, R50, R9",0603,18,75,C4275 
"R16, R46, R6",0603,3,4k7,C23162
"R2, R47",0603,2,12k,C22790
"R20, R21, R4",0603,3,2k2,C4190
R3,0603,1,3k3,C22978
"R33, R34, R35, R36, R37, R38, R39, R40",0603,8,300,C23025
"R44, R45",0603,2,6k8,C23212
"RV1, RV2",PRS12R-2,2,~,
"TP1, TP2",TestPoint_THTPad_D4.0mm_Drill2.0mm,2,Vref,
"TP10, TP11, TP15, TP18, TP9",TestPoint_THTPad_D4.0mm_Drill2.0mm,5,TP,
"TP12, TP14, TP17, TP7",TestPoint_THTPad_D4.0mm_Drill2.0mm,4,In1,
"TP13, TP8",TestPoint_THTPad_D4.0mm_Drill2.0mm,2,In2,
TP16,TestPoint_Pad_2.0x2.0mm,1,TestPoint,
TP3,TestPoint_THTPad_D4.0mm_Drill2.0mm,1,Comp1Out,
"TP4, TP5",TestPoint_THTPad_D4.0mm_Drill2.0mm,2,Comp2Out,
TP6,TestPoint_THTPad_D4.0mm_Drill2.0mm,1,Led,
"U1, U11",SOIC-8_3.9x4.9mm_P1.27mm,2,LM393,C7955
U10,SOIC-16_3.9x9.9mm_P1.27mm,1,TPW4053-SR,C7500846
U2,SOT-23-5,1,TLV3201,C105188
"U3, U6, U8, U9",SOIC-8_3.9x4.9mm_P1.27mm,4,NE5532,C7426
"U4, U5",SOT-23,2,CJ,C3113
U7,VSSOP-8_3x3mm_P0.65mm,1,LMH6643,C478382
