Designator,Mid X,Mid Y,Rotation,Layer
C1,62.127185,-65.811556,180.0,top
C10,96.638984,-47.126155,0.0,top
C11,92.066984,-54.111155,180.0,top
C12,121.083,-47.625,0.0,top
C13,116.791,-54.61,180.0,top
C14,80.365601,-91.689701,180.0,top
C15,80.327801,-90.165701,180.0,top
C16,81.107401,-83.030901,270.0,top
C17,85.120601,-88.512101,90.0,top
C18,109.476401,-91.394701,180.0,top
C19,109.476401,-89.870701,180.0,top
C2,125.951,-40.64,180.0,top
C20,108.864401,-81.153001,0.0,top
C21,116.382801,-86.619501,0.0,top
C22,130.7275,-43.688,180.0,top
C23,101.142801,-65.978001,270.0,top
C24,105.054401,-76.608201,90.0,top
C29,112.699801,-65.889401,90.0,top
C3,64.681401,-87.387001,0.0,top
C30,120.396001,-76.557401,90.0,top
C32,107.111801,-65.965601,90.0,top
C33,110.878001,-76.576201,270.0,top
C4,64.681401,-95.387001,0.0,top
C5,58.181401,-95.387001,0.0,top
C6,58.181401,-87.387001,0.0,top
C7,54.402185,-71.335056,180.0,top
C8,51.567185,-82.355294,0.0,top
C9,125.885,-33.782,0.0,top
D1,40.902185,-74.185056,180.0,top
D2,64.239685,-75.461556,0.0,top
D3,85.598,-71.755,0.0,top
D4,106.934,-51.943,180.0,top
D5,50.577185,-93.041556,0.0,top
D6,130.81,-50.546,0.0,top
D7,74.538,-76.041,270.0,top
D8,98.567201,-67.180701,90.0,top
D9,81.881,-71.755,0.0,top
FB1,125.885,-38.735,180.0,top
FB2,125.885,-35.814,180.0,top
FB3,122.385,-39.1005,270.0,top
FB4,122.415,-33.768,90.0,top
J1,43.402185,-69.485056,180.0,bottom
J10,63.527,-50.8,90.0,top
J11,62.35,-36.302,90.0,top
J12,69.3,-36.302,90.0,top
J13,76.25,-36.302,90.0,top
J14,83.2,-36.302,90.0,top
J15,90.15,-36.302,90.0,top
J16,97.1,-36.302,90.0,top
J17,104.05,-36.302,90.0,top
